utterance_id,text,emotion
Ses02F_script02_2_F034,"I know that you meant this to be special and nice and the sand and the moon and all, but I just couldn't help thinking about being somewhere else.",sadness
Ses02F_impro07_F034,"I know, and I mean the area's not great, but like the school makes up for it. It'll be fine. It'll be good.",excited
Ses05F_impro06_F007,"I just, I don't know.",sadness
Ses02M_script03_1_M003,"We're all right darling, aren't we whatever happens?",fear
Ses04M_impro07_F001,Really?,surprise
Ses05M_script02_2_M009,We've missed them twice.  That's hardly ever.,frustration
Ses05M_impro07_M030,yeah?,excited
Ses04M_script03_2_F014,"No, thanks.",anger
Ses05F_impro08_M024,Really?,surprise
Ses05M_script01_1b_M032,But if that can't happen then I'll just get out.,anger
Ses01M_impro02_M023,"I really don't want to go, I don't want to go...",sadness
Ses03M_impro08a_F016,What?,frustration
Ses02F_impro04_M007,...dumber than you.  I mean they're a lot worse off than you.  You are much better off than like a lot of those people in there. I know,neutral
Ses04M_script03_1_M007,With the mo- with the most perfect poise?,excited
Ses05M_script01_1_M024,"I don't know why it is but everytime I reach out for something I- that I want, I have to pull back because I might hurt somebody else.  My whole bloody life; time after time after time.",frustration
Ses03M_impro07_F003,No way. Are you serious? Oh my God.  Congratulations. I'm so excited.,surprise
Ses02M_script03_1_F016,"Well, what happens if one of us dies, does the one that's left still laugh?",fear
Ses04F_impro02_M026,Well I can't be okay with it the same way you can't not go.  It just doesn't work that way.,sadness
Ses03F_script03_2_F022,They sting.,frustration
Ses01M_impro02_F010,What about the birthday party?,sadness
Ses05F_script01_3_F000,You're the only one I know who loves his parents.,happiness
Ses04M_impro04_M017,Yeah.,frustration
Ses02M_script03_2_M037,I'll do no such thing.,frustration
Ses03F_impro08_F023,"Oh, well, I'm sorry about that. Umm- We-",neutral
Ses04F_script03_1_M029,Horrible thing.  I hated it.,neutral
Ses03M_impro07_F010,Oh man.,happiness
Ses05M_script02_1_M000,"What time is it?  They're supposed to run around midnight.  Oh, this is great, isn't it?  Look at the night we've got here.  It couldn't be better.  Actually, I wanted to go a little further up the coast you know to get away from all the lights and the people.  I was afraid we might miss it though, so how are you doing?",excited
Ses02M_impro01_M006,"Okay, so what are you saying? What-",frustration
Ses03F_script01_3_F013,"Well, I guess that's why I came.",happiness
Ses02M_impro06_M000,Kathy died last night.,sadness
Ses02F_script03_1_F028,"The manager came in and found us rolling around on the floor, biting and scratching like panthers.",happiness
Ses01F_impro03_M024,That's fair enough.,neutral
Ses03F_script03_2_F040,This is the end. Do you hear? The end. Now and forever.,anger
Ses02F_impro06_F003,Yeah.,sadness
Ses01F_impro04_M026,"To save the environment, carpool.",neutral
Ses05M_impro04_M005,"But, I mean, I don't want to keep those jobs.  I don't want those jobs.It's not what I want to do.",frustration
Ses05F_script01_3_M000,I know.  It's going out of style isn't it?,happiness
Ses05M_impro07_M031,That would be perfect.,excited
Ses03M_impro06_M011,"and the worst part of it is that he was in the car with his girlfriend,",sadness
Ses01F_script03_1_F002,It had to happen sooner or later.  What are we going to do?,fear
Ses03M_impro03_F002,Shut up. Oh my God.  Really? Just like that?  You just asked the question and what...how did you ask?,surprise
Ses01F_script02_2_M046,[BREATHING],happiness
Ses01F_script03_1_M002,It must be them then.,fear
Ses01M_impro02_F002,Are you kidding me?,surprise
Ses05F_script01_3_F009,I guess this is why I came.,happiness
Ses02F_script03_2_M007,"Well, what about me?",anger
Ses04F_script03_1_M002,It must be them then.,fear
Ses02F_script02_2_M042,"Well, look what we have here.",happiness
Ses04M_script03_2_M041,You better turn that off I think.,anger
Ses04M_impro03_M015,Barefoot?,excited
Ses01F_script03_1_F002,It had to happen sooner or later.  What are we going to do?,fear
Ses01F_impro01_M010,"Yeah.  We keep it on file, but we need an ID to access that file.",frustration
Ses02F_script03_1_F000,Do you think it's them?,fear
Ses01F_script01_1_M007,You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,neutral
Ses02F_script01_2_F012,"Because if he's not coming back, I'll kill myself.  I mean, laugh--laugh at me, but...",anger
Ses04M_script03_2_F039,"Turn it on again, please.",anger
Ses01F_script03_1_F000,Is it them?,fear
Ses01F_script03_1_M002,It must be them then.,fear
Ses01M_script01_1_F020,"Well, what do you want me to do?  You're old enough known your own business.",anger
Ses01F_script03_1_M002,It must be them then.,fear
Ses04F_impro03_F011,So pretty.,excited
Ses03F_impro03_M009,oh-,surprise
Ses01F_script01_1_M041,I know that.  Then just help me stay here.,frustration
Ses04F_script01_3_M004,What?,anger
Ses04F_impro03_M019,"It's a light brown, tanish.",neutral
Ses04F_script01_3_M031,"For instance, one time it had been raining several days and this kid came to me and gave me his last pair of dry socks.",sadness
Ses03M_script02_2_F017,"Look, do you remember the first time we came here?",frustration
Ses02M_script03_1_M002,Must be them then.,fear
Ses01M_script01_3_M009,"Ann, I love you.  I love you.",happiness
Ses03M_impro03_M016,So Okay then and.,happiness
Ses04M_impro01_F019,Would you like to be kicked out of the D.M.V.?  You don't think that'll be a little embarrassing?,anger
Ses04M_impro06_M000,Thanks.,sadness
Ses01M_script02_2_M042,I'm doing the best I can.,sadness
Ses01F_script03_1_F001,Freda is the only one who knows we are here.  She wouldn't ring up.,fear
Ses04F_impro07_F048,Okay well that's not a happy part.  We don't want to talk about that.,excited
Ses05M_script03_2_M026,"I'm sure you had a riotous time, no restrain at all, very enjoyable.  You never had much anyway.",anger
Ses05F_impro02_F006,Iraq.,fear
Ses01F_script01_3_M009,"I don't really have any imagination, that's all I know how to say.",happiness
Ses01M_script03_1_M003,"We're okay, right darling?  Whatever happens, we're okay?",fear
Ses02M_script02_2_M022,You want to go get some champagne?,neutral
Ses01M_script02_2_F039,"Yes, don't be ridiculous.  Don't you know that?",surprise
Ses03F_impro02_F023,"Babe, I love you.",sadness
Ses03M_impro08a_M025,My name is Sara.,neutral
Ses05M_impro05_M007,People lose --,neutral
Ses05M_impro02_F003,You didn't- Did you tell them you have two young children at home?,fear
Ses04M_script03_1_M013,All the futile moralists who try to make life unbearable.  Laugh at them.  Be flippant.  Laugh at everything.  All their sacred shibboleths.  Flippancy brings out the acid- acid in their damn sweetness and light.,anger
Ses03F_impro07_F012,"and so, I mean, I got in.",happiness
Ses05F_script03_2_F001,Only a trivial little broach.,neutral
Ses01F_script02_1_M030,For real?,surprise
Ses01M_script03_2_F040,This is the end do you hear me?  Finally and forever.,anger
Ses05M_impro01_M020,That's just dumb.,frustration
Ses03M_impro02_M004,They want to deploy me next week.,sadness
Ses04F_script01_1_M026,I wanted to get this settled first.,sadness
Ses01F_impro06_M006,Mmhmm.,neutral
Ses04F_impro03_M002,Are you serious?  You're getting married.,surprise
Ses02F_script01_3_M021,"Yeah, I suppose I have been.  But it's going from me.",sadness
Ses01F_script03_1_F000,Is it them?,fear
Ses05F_script03_2_M016,"Oh, that reply has broken my heart.",anger
Ses03M_impro05a_M026,"You're the manager? You don't know where you work for, you don't know where you're at and you're the manager?",anger
Ses05M_script01_1_F021,"I ignore what I got to ignore.  I mean, the girl is Larry's girl.",anger
Ses05F_impro04_F034,"Yeah, I follow up.",frustration
Ses01M_script03_1_F014,"Oh, yes meaning just that.",happiness
Ses01F_script03_1_F020,[LAUGHTER],happiness
Ses05M_script01_3_F027,[LAUGHTER] What will I do with a fortune?,happiness
Ses03M_script02_2_F046,No I'm beginning to think you might be right.,happiness
Ses03M_impro05a_F012,I'm very sorry but let's check on this immediately.  This is definitely an emergency.  It seems--,neutral
Ses04M_impro02_F011,"And what happens if, at the end of that year, they ask you to stay longer?  Are you just going to agree?  Are you just going to absentmindedly brainwashedly do whatever it is they tell you to do?",frustration
Ses01M_impro06_F019,"It leaves a hole for you too, in your plans together.",neutral
Ses05M_impro08_F019,"Uh, yeah looks -- no, no.  It's set to zeros.",neutral
Ses03M_impro03_F002,Shut up. Oh my God.  Really? Just like that?  You just asked the question and what...how did you ask?,surprise
Ses02M_script02_2_M025,Get married again?,neutral
Ses05F_impro05_M028,"Right. Yes, ma'am.",frustration
Ses04F_script03_2_F043,"Oh, I hate you. It's a good thing that I found out in time what you're really like. Marry you again?  Never, never, never.",anger
Ses04M_impro03_F008,"Yeah, I would love to. Thanks. [LAUGHTER]",excited
Ses04F_script02_1_M010,"Are you cold?  Do you want my jacket?  We should have brought the blanket, our blanket.",neutral
Ses02F_impro03_M007,That--that is the most romantic thing I have ever heard.,surprise
Ses01F_script03_1_M000,Good God.,fear
Ses03F_script01_1_M022,"-Oh, you infuriate me sometimes. You know, it's not just my business too if dad throws a fit.",anger
Ses02M_script03_1_F024,It went on intermittently for days.,happiness
Ses03F_script02_2_M024,A vacation?,frustration
Ses05M_impro03_M012,Wasn't that great? I didn't want it to be too hokey.but- but- She liked it.She liked it.,happiness
Ses05M_impro07_F041,"Wow, are you so excited?",excited
