session,dialogue,utterance_id,start,end,text,emotion,audio_path,video_dialog_path
Session5,Ses05M_script02_1,Ses05M_script02_1_M032,333.19,348.24,"they just all as one turn around and start swimming to this very point where we are standing now for one last celebration of sex and death. God, it's giving me Goosebumps.  Look at all the hairs that are standing up.",excited,IEMOCAP_full_release\Session5\sentences\wav\Ses05M_script02_1\Ses05M_script02_1_M032.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_script02_1.avi
Session4,Ses04F_impro07,Ses04F_impro07_F010,43.43,47.8,"Do you want to buy me some mace for my, you know, going away present?",excited,IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro07\Ses04F_impro07_F010.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04F_impro07.avi
Session3,Ses03F_impro07,Ses03F_impro07_F012,70.6125,72.7503,"and so, I mean, I got in.",happiness,IEMOCAP_full_release\Session3\sentences\wav\Ses03F_impro07\Ses03F_impro07_F012.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03F_impro07.avi
Session3,Ses03M_impro04,Ses03M_impro04_M001,16.91,20.43,I've been looking for like eight months.,frustration,IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro04\Ses03M_impro04_M001.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03M_impro04.avi
Session5,Ses05M_impro01,Ses05M_impro01_F014,94.4,97.03,"Sir, please don't waste my time.",frustration,IEMOCAP_full_release\Session5\sentences\wav\Ses05M_impro01\Ses05M_impro01_F014.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_impro01.avi
Session1,Ses01F_impro01,Ses01F_impro01_F002,14.8872,18.0175,Is there a problem?,neutral,IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F002.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_impro01.avi
Session2,Ses02M_script02_1,Ses02M_script02_1_M014,85.87,92.41,"Oh, a six-pack, that's, should've brought a -- a six-pack be just the ticket right now. How could I forget,",excited,IEMOCAP_full_release\Session2\sentences\wav\Ses02M_script02_1\Ses02M_script02_1_M014.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02M_script02_1.avi
Session4,Ses04M_script03_2,Ses04M_script03_2_M023,122.26,126.08,Oh.  That reply has broken my heart.,frustration,IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script03_2\Ses04M_script03_2_M023.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04M_script03_2.avi
Session4,Ses04M_script03_1,Ses04M_script03_1_M001,9.86,10.91,I wonder.,fear,IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script03_1\Ses04M_script03_1_M001.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04M_script03_1.avi
Session1,Ses01F_script03_2,Ses01F_script03_2_M035,264.8475,267.19,"Amanda, listen, listen.",anger,IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script03_2\Ses01F_script03_2_M035.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_script03_2.avi
Session5,Ses05F_impro04,Ses05F_impro04_F011,118.95,121.71,This is humiliating.,frustration,IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro04\Ses05F_impro04_F011.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05F_impro04.avi
Session5,Ses05M_impro07,Ses05M_impro07_M040,172.43,179.9,"Yeah, yeah, yeah.  And it's gonna work out.  I'm gonna be able to pay for it, I'm gonna go, I mean, I'll have a little debt in the end.  But I don't care.",excited,IEMOCAP_full_release\Session5\sentences\wav\Ses05M_impro07\Ses05M_impro07_M040.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_impro07.avi
Session2,Ses02M_script03_2,Ses02M_script03_2_M046,245.4159,246.5737,Shut up.,anger,IEMOCAP_full_release\Session2\sentences\wav\Ses02M_script03_2\Ses02M_script03_2_M046.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02M_script03_2.avi
Session5,Ses05M_impro07,Ses05M_impro07_F036,153.34,154.99,Oh cool.,happiness,IEMOCAP_full_release\Session5\sentences\wav\Ses05M_impro07\Ses05M_impro07_F036.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_impro07.avi
Session4,Ses04F_impro02,Ses04F_impro02_M005,70.75,72.4035,You don't know that.,frustration,IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro02\Ses04F_impro02_M005.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04F_impro02.avi
Session1,Ses01M_impro03,Ses01M_impro03_M017,103.1,114.43,"Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?",excited,IEMOCAP_full_release\Session1\sentences\wav\Ses01M_impro03\Ses01M_impro03_M017.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01M_impro03.avi
Session2,Ses02F_script03_1,Ses02F_script03_1_M020,112.79,118.28,"No. No, it isn't.  Death is very laughable.  Such a cunning little mystery.  All done with mirrors.",excited,IEMOCAP_full_release\Session2\sentences\wav\Ses02F_script03_1\Ses02F_script03_1_M020.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02F_script03_1.avi
Session3,Ses03F_script01_1,Ses03F_script01_1_M052,434.9629,438.9589,I am thinking like that.,neutral,IEMOCAP_full_release\Session3\sentences\wav\Ses03F_script01_1\Ses03F_script01_1_M052.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03F_script01_1.avi
Session4,Ses04M_script01_3,Ses04M_script01_3_F012,112.83,114.45,Every day since.,happiness,IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script01_3\Ses04M_script01_3_F012.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04M_script01_3.avi
Session4,Ses04F_script01_3,Ses04F_script01_3_F009,59.67,62.6615,I guess this is why I came.,happiness,IEMOCAP_full_release\Session4\sentences\wav\Ses04F_script01_3\Ses04F_script01_3_F009.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04F_script01_3.avi
Session5,Ses05F_impro03,Ses05F_impro03_F051,232.95,237.31,"Two artists, though.  We're bound to be poor forever.",happiness,IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro03\Ses05F_impro03_F051.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05F_impro03.avi
Session1,Ses01M_script03_1,Ses01M_script03_1_M001,9.21,11.55,I wonder.,fear,IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script03_1\Ses01M_script03_1_M001.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01M_script03_1.avi
Session3,Ses03F_impro06,Ses03F_impro06_F008,57.3397,60.0098,I loved that boy.,sadness,IEMOCAP_full_release\Session3\sentences\wav\Ses03F_impro06\Ses03F_impro06_F008.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03F_impro06.avi
Session1,Ses01M_script03_1,Ses01M_script03_1_M001,9.21,11.55,I wonder.,fear,IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script03_1\Ses01M_script03_1_M001.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01M_script03_1.avi
Session5,Ses05F_script01_3,Ses05F_script01_3_M033,319.6242,333.7856,And to show that-to-to bring that back onto the earth again like a- like a monument.  And everyone would have it standing behind them and- and it would make a difference for them.,sadness,IEMOCAP_full_release\Session5\sentences\wav\Ses05F_script01_3\Ses05F_script01_3_M033.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05F_script01_3.avi
Session5,Ses05F_impro03,Ses05F_impro03_F042,205.54,207.37,I know. I can't believe it.,excited,IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro03\Ses05F_impro03_F042.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05F_impro03.avi
Session4,Ses04F_script03_1,Ses04F_script03_1_F030,203.35,205.39,And very much sillier.,excited,IEMOCAP_full_release\Session4\sentences\wav\Ses04F_script03_1\Ses04F_script03_1_F030.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04F_script03_1.avi
Session3,Ses03M_impro07,Ses03M_impro07_F019,125.51,127.85,Mmmm some miso soup.,happiness,IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro07\Ses03M_impro07_F019.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03M_impro07.avi
Session2,Ses02M_impro08,Ses02M_impro08_F018,141.4772,144.8732,So is there any- I mean what if they spend something again?,fear,IEMOCAP_full_release\Session2\sentences\wav\Ses02M_impro08\Ses02M_impro08_F018.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02M_impro08.avi
Session1,Ses01M_script01_3,Ses01M_script01_3_F021,253.41,256.4398,You got to tell me.,sadness,IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script01_3\Ses01M_script01_3_F021.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01M_script01_3.avi
Session5,Ses05M_script03_1,Ses05M_script03_1_F031,245.06,247.0439,You knew there was nothing in that.,neutral,IEMOCAP_full_release\Session5\sentences\wav\Ses05M_script03_1\Ses05M_script03_1_F031.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_script03_1.avi
Session5,Ses05F_impro07,Ses05F_impro07_M013,53.3599,55.99,Uh! I'm so happy that you're not going to go away.,excited,IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro07\Ses05F_impro07_M013.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05F_impro07.avi
Session2,Ses02M_impro08,Ses02M_impro08_F018,141.4772,144.8732,So is there any- I mean what if they spend something again?,fear,IEMOCAP_full_release\Session2\sentences\wav\Ses02M_impro08\Ses02M_impro08_F018.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02M_impro08.avi
Session1,Ses01M_script01_1,Ses01M_script01_1_M038,394.4,397.08,Then help me stay here mom.,sadness,IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script01_1\Ses01M_script01_1_M038.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01M_script01_1.avi
Session5,Ses05M_script01_1b,Ses05M_script01_1b_M036,327.03,337.65,"Yeah, I'd like one hour a day.  If I have to grub for money all day long, I'd like to go home to something beautiful.  I'd like a family.  I'd like some kids.",anger,IEMOCAP_full_release\Session5\sentences\wav\Ses05M_script01_1b\Ses05M_script01_1b_M036.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_script01_1b.avi
Session2,Ses02F_impro03,Ses02F_impro03_M002,16.74,20.1143,No.  Let me see.,surprise,IEMOCAP_full_release\Session2\sentences\wav\Ses02F_impro03\Ses02F_impro03_M002.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02F_impro03.avi
Session4,Ses04M_impro07,Ses04M_impro07_F011,92.66,95.3147,"Oh, you did not just say that.",happiness,IEMOCAP_full_release\Session4\sentences\wav\Ses04M_impro07\Ses04M_impro07_F011.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04M_impro07.avi
Session5,Ses05F_impro07,Ses05F_impro07_M008,31.62,34.09,That'll be awesome.,excited,IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro07\Ses05F_impro07_M008.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05F_impro07.avi
Session2,Ses02M_impro07,Ses02M_impro07_M023,106.86,114.29,"What's that? ahh Well, you know I'm I'm thinking um I'm leaning towards like communications",happiness,IEMOCAP_full_release\Session2\sentences\wav\Ses02M_impro07\Ses02M_impro07_M023.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02M_impro07.avi
Session1,Ses01F_script03_1,Ses01F_script03_1_F001,8.74,15.2,Freda is the only one who knows we are here.  She wouldn't ring up.,fear,IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script03_1\Ses01F_script03_1_F001.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_script03_1.avi
Session1,Ses01F_script03_1,Ses01F_script03_1_M001,7.29,9.18,I wonder.,fear,IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script03_1\Ses01F_script03_1_M001.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_script03_1.avi
Session4,Ses04M_script03_1,Ses04M_script03_1_F001,10.58,13.54,"Nobody knows we're here, except Freda and she wouldn't ring up.",fear,IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script03_1\Ses04M_script03_1_F001.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04M_script03_1.avi
Session1,Ses01M_impro04,Ses01M_impro04_F025,186.3825,189.6225,"Well, what kind of field are you looking to go into?",neutral,IEMOCAP_full_release\Session1\sentences\wav\Ses01M_impro04\Ses01M_impro04_F025.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01M_impro04.avi
Session1,Ses01F_impro03,Ses01F_impro03_F025,110.23,114.16,"We renamed Brenda, Lumber Janet.",happiness,IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F025.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_impro03.avi
Session5,Ses05F_script03_2,Ses05F_script03_2_F032,201.55,203.72,Turn it on again.,anger,IEMOCAP_full_release\Session5\sentences\wav\Ses05F_script03_2\Ses05F_script03_2_F032.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05F_script03_2.avi
Session5,Ses05M_impro02,Ses05M_impro02_F015,127.24,132.27,"Are you gonna be like in tanks running around?  What- I mean, what does that mean?",fear,IEMOCAP_full_release\Session5\sentences\wav\Ses05M_impro02\Ses05M_impro02_F015.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_impro02.avi
Session5,Ses05M_script03_2,Ses05M_script03_2_F026,153.02,154.86,You always had a weak head.,neutral,IEMOCAP_full_release\Session5\sentences\wav\Ses05M_script03_2\Ses05M_script03_2_F026.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_script03_2.avi
Session4,Ses04F_script02_2,Ses04F_script02_2_F020,192.52,200.3,"and you popped the cork and while we were dancing, you said the softest most intimate things to me",sadness,IEMOCAP_full_release\Session4\sentences\wav\Ses04F_script02_2\Ses04F_script02_2_F020.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04F_script02_2.avi
Session1,Ses01F_impro07,Ses01F_impro07_F013,103.26,110.46,"I would be like- Oh. Right, right, right.",excited,IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro07\Ses01F_impro07_F013.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_impro07.avi
Session2,Ses02F_impro08,Ses02F_impro08_F020,146.3132,148.7047,Okay.  Great.  What time of the day would you like?,neutral,IEMOCAP_full_release\Session2\sentences\wav\Ses02F_impro08\Ses02F_impro08_F020.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02F_impro08.avi
Session2,Ses02F_script03_2,Ses02F_script03_2_F031,181.62,183.11,Why?,anger,IEMOCAP_full_release\Session2\sentences\wav\Ses02F_script03_2\Ses02F_script03_2_F031.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02F_script03_2.avi
Session2,Ses02M_script01_3,Ses02M_script01_3_M004,41.2628,43.6713,What?,surprise,IEMOCAP_full_release\Session2\sentences\wav\Ses02M_script01_3\Ses02M_script01_3_M004.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02M_script01_3.avi
Session1,Ses01M_script02_1,Ses01M_script02_1_M045,383.78,391.47,It's like urgency that's pure urge you know.  It's single-mindedness with no mind.,excited,IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script02_1\Ses01M_script02_1_M045.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01M_script02_1.avi
Session5,Ses05F_impro04,Ses05F_impro04_F029,310.65,312.8,I don't know.,frustration,IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro04\Ses05F_impro04_F029.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05F_impro04.avi
Session4,Ses04M_script03_1,Ses04M_script03_1_M003,15.7076,19.15,"We'll be alright, darling.  Whatever happens, aren't we?",neutral,IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script03_1\Ses04M_script03_1_M003.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04M_script03_1.avi
Session4,Ses04M_impro03,Ses04M_impro03_M026,229.48,230.94,She's okay with it.,happiness,IEMOCAP_full_release\Session4\sentences\wav\Ses04M_impro03\Ses04M_impro03_M026.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04M_impro03.avi
Session4,Ses04M_impro02,Ses04M_impro02_F002,23.61,29.8731,You're just going to pick up and leave me and our baby and miss a year of our lives?,frustration,IEMOCAP_full_release\Session4\sentences\wav\Ses04M_impro02\Ses04M_impro02_F002.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04M_impro02.avi
Session5,Ses05F_impro02,Ses05F_impro02_M019,137.69,141.91,"Your Your mom, you want me to move in with your mom?",surprise,IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro02\Ses05F_impro02_M019.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05F_impro02.avi
Session2,Ses02F_script02_2,Ses02F_script02_2_F010,80.77,86.15,"No, we won't.  It's pointless.  It's like waiting up to see Santa Claus.",frustration,IEMOCAP_full_release\Session2\sentences\wav\Ses02F_script02_2\Ses02F_script02_2_F010.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02F_script02_2.avi
Session1,Ses01F_impro03,Ses01F_impro03_F010,47.87,51.075,Oh.  I hadn't even thought about that.,happiness,IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro03\Ses01F_impro03_F010.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_impro03.avi
Session2,Ses02M_script03_1,Ses02M_script03_1_M002,11.5341,13.4564,Must be them then.,fear,IEMOCAP_full_release\Session2\sentences\wav\Ses02M_script03_1\Ses02M_script03_1_M002.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02M_script03_1.avi
Session2,Ses02M_script03_1,Ses02M_script03_1_M003,16.2649,19.1183,"We're all right darling, aren't we whatever happens?",fear,IEMOCAP_full_release\Session2\sentences\wav\Ses02M_script03_1\Ses02M_script03_1_M003.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02M_script03_1.avi
Session5,Ses05M_impro02,Ses05M_impro02_F016,138.59,140.67,"Oh, my God.",fear,IEMOCAP_full_release\Session5\sentences\wav\Ses05M_impro02\Ses05M_impro02_F016.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_impro02.avi
Session4,Ses04M_script03_1,Ses04M_script03_1_M001,9.86,10.91,I wonder.,fear,IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script03_1\Ses04M_script03_1_M001.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04M_script03_1.avi
Session5,Ses05F_script02_1,Ses05F_script02_1_M025,207.27,208.69,For real?,surprise,IEMOCAP_full_release\Session5\sentences\wav\Ses05F_script02_1\Ses05F_script02_1_M025.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05F_script02_1.avi
Session4,Ses04M_script01_1,Ses04M_script01_1_F002,19.13,20.9592,When?,surprise,IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script01_1\Ses04M_script01_1_F002.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04M_script01_1.avi
Session3,Ses03M_impro03,Ses03M_impro03_M019,115.405,117.865,Yeah.,happiness,IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro03\Ses03M_impro03_M019.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03M_impro03.avi
Session3,Ses03F_impro02,Ses03F_impro02_M020,204.38,208.49,I can't be that strong. A whole year.,sadness,IEMOCAP_full_release\Session3\sentences\wav\Ses03F_impro02\Ses03F_impro02_M020.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03F_impro02.avi
Session4,Ses04M_script03_1,Ses04M_script03_1_F002,14.29,16.28,What are we to do?,fear,IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script03_1\Ses04M_script03_1_F002.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04M_script03_1.avi
Session3,Ses03M_impro08b,Ses03M_impro08b_F007,58.86,65.3,Okay?  And it [GARBAGE]. My business is failing because my phone isn't working and I don't have a land line and I really can't handle this right now.,frustration,IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro08b\Ses03M_impro08b_F007.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03M_impro08b.avi
Session3,Ses03F_impro01,Ses03F_impro01_M009,61.02,67.67,"okay, just go back and fill it out real quick and I'm sorry, you have to get back in line and wait. I can't let you cut.",frustration,IEMOCAP_full_release\Session3\sentences\wav\Ses03F_impro01\Ses03F_impro01_M009.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03F_impro01.avi
Session3,Ses03M_script01_2,Ses03M_script01_2_M002,21.0705,27.295,uh-uh What do you mean?  They grew up next to each other their entire lives.  Why shouldn't he want to see her?,frustration,IEMOCAP_full_release\Session3\sentences\wav\Ses03M_script01_2\Ses03M_script01_2_M002.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03M_script01_2.avi
Session3,Ses03M_script02_2,Ses03M_script02_2_F024,236.2191,239.8641,Rather not hope for something.,sadness,IEMOCAP_full_release\Session3\sentences\wav\Ses03M_script02_2\Ses03M_script02_2_F024.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03M_script02_2.avi
Session1,Ses01F_script01_1,Ses01F_script01_1_M041,403.43,407.04,I know that.  Then just help me stay here.,frustration,IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script01_1\Ses01F_script01_1_M041.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_script01_1.avi
Session3,Ses03M_script02_2,Ses03M_script02_2_F026,249.9335,252.166,No.,frustration,IEMOCAP_full_release\Session3\sentences\wav\Ses03M_script02_2\Ses03M_script02_2_F026.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03M_script02_2.avi
Session5,Ses05F_script01_2,Ses05F_script01_2_M014,127.16,131.42,"All right, all right.  Calm yourself.",frustration,IEMOCAP_full_release\Session5\sentences\wav\Ses05F_script01_2\Ses05F_script01_2_M014.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05F_script01_2.avi
Session2,Ses02F_script02_1,Ses02F_script02_1_M044,288.8,290.29,What I was saying.,neutral,IEMOCAP_full_release\Session2\sentences\wav\Ses02F_script02_1\Ses02F_script02_1_M044.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02F_script02_1.avi
